Strike,BidVolP,AskVolP,BidVolC,AskVolC,BidQty1,AskQty1,LocalTime
1.95,0.34741715104422366,0.35437152232137564,,,10.0,1.0,2016-Feb-16 09:31:00.292766
1.8,,,0.4040078950821436,0.41695663547035455,10.0,6.0,2016-Feb-16 09:31:00.292846
2.45,NaN,2.022853413050013,,,6.0,1.0,2016-Feb-16 09:31:00.785579
2.2,,,0.40960491685974987,0.4309860878745764,4.0,20.0,2016-Feb-16 09:31:00.785595
2.25,NaN,1.6060693849720054,,,5.0,1.0,2016-Feb-16 09:31:00.785625
2.15,,,0.3962700062901366,0.41191977223796944,4.0,3.0,2016-Feb-16 09:31:00.785693
2.05,,,0.3705621267612766,0.3844648819664061,1.0,1.0,2016-Feb-16 09:31:00.785739
2.0,0.32625283117792103,0.36504222928386165,,,1.0,9.0,2016-Feb-16 09:31:00.785776
1.95,,,0.3704626934914468,0.3722013564012349,20.0,1.0,2016-Feb-16 09:31:00.785814
1.95,0.34741715104422366,0.3535022208300198,,,10.0,1.0,2016-Feb-16 09:31:00.785849
1.8,,,0.4040078950821436,0.41695663547035455,10.0,6.0,2016-Feb-16 09:31:00.785867
