putLast,putBid,putBidQty,putAsk,putAskQty,putStrike,callLast,callBid,callBidQty,callAsk,callAskQty,callStrike,Last,Bid1,BidQty1,Ask1,AskQty1,LocalTime
0.0037,0.0028,10.0,0.0039,3.0,1.8,0.0059,0.0059,18.0,0.009,5.0,2.1,1.96,1.959,532800.0,1.96,984000.0,2016-Feb-16 09:30:04.520358
0.0409,0.0406,1.0,0.042,5.0,1.95,0.1522,0.1525,1.0,0.1547,10.0,1.8,1.96,1.959,490000.0,1.96,871700.0,2016-Feb-16 09:30:09.587622
0.0406,0.0402,2.0,0.042,5.0,1.95,0.0025,0.0025,1.0,0.0028,1.0,2.15,1.96,1.959,481000.0,1.96,849600.0,2016-Feb-16 09:30:14.591004
0.0213,0.0171,3.0,0.0208,3.0,1.9,0.0706,0.0668,1.0,0.071,5.0,1.9,1.959,1.959,592000.0,1.96,839600.0,2016-Feb-16 09:30:19.560765
0.0086,0.0076,10.0,0.008,10.0,1.85,0.0409,0.0409,2.0,0.042,10.0,1.95,1.959,1.959,574100.0,1.96,839400.0,2016-Feb-16 09:30:24.641089
0.0028,0.0024,10.0,0.0038,4.0,1.8,0.0706,0.0668,4.0,0.0709,15.0,1.9,1.96,1.959,454900.0,1.96,844500.0,2016-Feb-16 09:30:29.631013
0.039,0.0356,2.0,0.039,66.0,1.95,0.1557,0.1547,10.0,0.1563,6.0,1.8,1.959,1.958,66300.0,1.959,1847850.0,2016-Feb-16 09:30:34.698456
0.039,0.0371,6.0,0.039,34.0,1.95,0.0707,0.0669,6.0,0.0708,2.0,1.9,1.959,1.958,66300.0,1.959,1747850.0,2016-Feb-16 09:30:39.675425
0.0028,0.0025,6.0,0.0037,3.0,1.8,0.0708,0.0683,1.0,0.0745,10.0,1.9,1.957,1.957,642237.0,1.959,1606550.0,2016-Feb-16 09:30:44.746451
0.0159,0.0167,6.0,0.0207,4.0,1.9,0.0234,0.0227,10.0,0.0252,6.0,2.0,1.959,1.957,641337.0,1.959,1646550.0,2016-Feb-16 09:30:49.732882
0.0407,0.0379,6.0,0.0407,2.0,1.95,0.1557,0.1547,10.0,0.1557,1.0,1.8,1.958,1.957,641337.0,1.958,19100.0,2016-Feb-16 09:30:54.724653
0.0028,0.0027,10.0,0.0035,6.0,1.8,0.1557,0.1547,10.0,0.1554,10.0,1.8,1.958,1.958,136300.0,1.959,1030950.0,2016-Feb-16 09:30:59.765946
0.0207,0.0191,10.0,0.0207,4.0,1.9,0.1557,0.1547,10.0,0.1555,10.0,1.8,1.957,1.956,960100.0,1.957,101363.0,2016-Feb-16 09:31:04.765544
0.0191,0.0189,6.0,0.0207,2.0,1.9,0.1555,0.1547,9.0,0.1553,10.0,1.8,1.959,1.956,960100.0,1.959,907813.0,2016-Feb-16 09:31:09.865762
0.0189,0.0189,6.0,0.0207,2.0,1.9,0.1555,0.1547,10.0,0.1555,6.0,1.8,1.958,1.957,10000.0,1.958,716400.0,2016-Feb-16 09:31:14.821262
0.0198,0.0198,5.0,0.0202,6.0,1.9,0.071,0.0696,1.0,0.0715,1.0,1.9,1.957,1.957,198700.0,1.958,604400.0,2016-Feb-16 09:31:19.801187
0.04,0.04,3.0,0.0406,1.0,1.95,0.071,0.0696,1.0,0.071,10.0,1.9,1.957,1.957,181700.0,1.958,604400.0,2016-Feb-16 09:31:24.801608
0.2091,0.1845,6.0,0.208,20.0,2.15,0.1555,0.1555,7.0,0.1557,1.0,1.8,1.956,1.956,291600.0,1.958,609600.0,2016-Feb-16 09:31:29.852563
0.0027,0.0027,7.0,0.0035,16.0,1.8,0.1072,0.1086,1.0,0.1116,6.0,1.85,1.958,1.957,301600.0,1.958,470300.0,2016-Feb-16 09:31:34.849650
0.019,0.0188,10.0,0.0195,10.0,1.9,0.0024,0.0023,6.0,0.0029,3.0,2.15,1.957,1.957,291500.0,1.958,480300.0,2016-Feb-16 09:31:39.930647
0.0035,0.0027,7.0,0.0034,6.0,1.8,0.1555,0.1547,9.0,0.1576,6.0,1.8,1.957,1.957,279200.0,1.958,368300.0,2016-Feb-16 09:31:44.908538
0.0408,0.0408,12.0,0.0418,6.0,1.95,0.1086,0.1073,6.0,0.1109,1.0,1.85,1.958,1.958,153600.0,1.959,921913.0,2016-Feb-16 09:31:49.882024
0.0035,0.0027,7.0,0.0034,6.0,1.8,0.0709,0.0683,1.0,0.0715,1.0,1.9,1.956,1.955,230000.0,1.956,38900.0,2016-Feb-16 09:31:54.837643
0.0693,0.0692,2.0,0.072,10.0,2.0,0.0685,0.0685,2.0,0.0714,6.0,1.9,1.956,1.956,264200.0,1.957,11000.0,2016-Feb-16 09:31:59.935368
0.0184,0.0182,10.0,0.0202,4.0,1.9,0.1547,0.155,11.0,0.1575,1.0,1.8,1.955,1.955,131000.0,1.958,75400.0,2016-Feb-16 09:32:04.992453
0.018,0.018,29.0,0.0202,4.0,1.9,0.1547,0.155,11.0,0.1566,6.0,1.8,1.956,1.956,934000.0,1.957,9800.0,2016-Feb-16 09:32:09.877191
0.0026,0.0025,6.0,0.0034,6.0,1.8,0.0426,0.0422,1.0,0.0426,2.0,1.95,1.958,1.958,44700.0,1.959,64813.0,2016-Feb-16 09:32:14.936166
0.018,0.019,10.0,0.0202,3.0,1.9,0.0733,0.0715,10.0,0.073,10.0,1.9,1.958,1.958,433500.0,1.959,64813.0,2016-Feb-16 09:32:20.032478
0.019,0.019,8.0,0.0195,10.0,1.9,0.1566,0.155,11.0,0.1575,1.0,1.8,1.959,1.959,584787.0,1.96,909200.0,2016-Feb-16 09:32:25.002629
0.019,0.0182,10.0,0.0195,7.0,1.9,0.0437,0.0431,23.0,0.0437,3.0,1.95,1.959,1.959,78187.0,1.96,407500.0,2016-Feb-16 09:32:29.991008
0.0401,0.04,20.0,0.0405,20.0,1.95,0.073,0.0715,12.0,0.074,10.0,1.9,1.958,1.957,492700.0,1.958,399000.0,2016-Feb-16 09:32:35.061747
0.0405,0.04,20.0,0.0405,8.0,1.95,0.0024,0.0024,10.0,0.0029,4.0,2.15,1.958,1.957,492700.0,1.958,399000.0,2016-Feb-16 09:32:40.038588
0.04,0.0395,5.0,0.04,2.0,1.95,0.073,0.0715,1.0,0.0731,1.0,1.9,1.958,1.957,503100.0,1.958,397900.0,2016-Feb-16 09:32:45.100994
0.1062,0.1065,6.0,0.1102,1.0,2.05,0.0442,0.0412,2.0,0.0438,10.0,1.95,1.958,1.957,3100.0,1.958,222400.0,2016-Feb-16 09:32:50.067310
0.019,0.0181,10.0,0.0195,7.0,1.9,0.155,0.155,10.0,0.1575,1.0,1.8,1.958,1.958,92600.0,1.959,3400.0,2016-Feb-16 09:32:55.065505
